"artist","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01","2015-05-01","2015-06-01","2015-07-01","2015-08-01","2015-09-01","2015-10-01","2015-11-01","2015-12-01","2016-01-01","2016-02-01","2016-03-01","2016-04-01","2016-05-01","2016-06-01","2016-07-01","2016-08-01","2016-09-01","2016-10-01","2016-11-01","2016-12-01","2017-01-01","2017-02-01","2017-03-01","2017-04-01","2017-05-01","2017-06-01","2017-07-01","2017-08-01","2017-09-01","2017-10-01","2017-11-01","2017-12-01","2018-01-01","2018-02-01","2018-03-01","2018-04-01","2018-05-01","2018-06-01","2018-07-01","2018-08-01","2018-09-01","2018-10-01","2018-11-01","2018-12-01","2019-01-01","2019-02-01","2019-03-01","2019-04-01","2019-05-01","2019-06-01","2019-07-01","2019-08-01","2019-09-01","2019-10-01","2019-11-01","2019-12-01","2020-01-01","2020-02-01","2020-03-01","2020-04-01","2020-05-01","2020-06-01","2020-07-01","2020-08-01","2020-09-01","2020-10-01","2020-11-01","2020-12-01","2021-01-01","2021-02-01","2021-03-01","2021-04-01","2021-05-01","2021-06-01","2021-07-01","2021-08-01","2021-09-01","2021-10-01","2021-11-01","2021-12-01","2022-01-01","2022-02-01","2022-03-01","2022-04-01","2022-05-01","2022-06-01","2022-07-01","2022-08-01","2022-09-01","2022-10-01","2022-11-01","2022-12-01"
"Miley Cyrus","0","3","0","0","0","0","1","3","0","2","7","15","10","4","0","1","2","0","1","2","2","1","1","0","0","0","0","1","1","1","0","1","1","0","0","0","0","0","0","27","4","57","1","0","13","3","1","1","0","5","0","0","0","1","0","0","0","0","0","0","1","3","18","0","2","1","0","3","23","1","4","0","0","0","0","0","0","1","0","0","0","0","0","0","72","24","45","75","163","295","30","42","15","4","6","11","21","27","4","1","0","19","2","12","2","3","8","2","7","122","31","44","34","5","22","9","1","1","8","15","11","21","7","26","12","7","55","5","19","2","4","0","2","15","2","0","3","11","3","0","0","0","5","17","6","0","17","2","0","8","0","0"
"The xx","18","11","9","16","1","3","1","4","48","15","9","2","7","6","8","1","3","23","6","5","1","4","3","0","2","2","15","2","54","17","3","1","14","40","153","85","61","22","16","2","0","20","19","0","48","2","6","9","0","0","0","0","0","0","2","4","7","0","0","0","0","2","0","0","0","0","1","0","0","3","7","0","2","0","0","0","0","4","21","7","49","8","7","3","3","4","8","7","14","3","2","10","2","1","1","0","12","1","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","1","4","2","0","0","1","22","3","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","2","1","2","0","0","0","0","2","0","0","1"
"Foals","0","0","0","21","8","64","39","0","1","0","1","0","0","4","39","4","12","0","5","1","0","6","0","4","10","0","17","0","0","2","0","0","0","62","53","80","47","13","0","0","1","10","1","1","9","0","0","0","2","19","0","0","0","0","0","0","11","0","0","1","0","0","30","62","34","1","0","0","12","2","4","0","0","1","0","0","1","2","0","1","0","1","0","0","0","4","0","2","4","2","0","2","2","0","2","1","0","0","0","0","0","0","0","0","0","1","2","1","1","1","0","0","2","2","1","2","0","0","0","0","2","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","2","0","0","0","1","0","0","0"
"Foxes","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","15","39","2","7","3","1","7","0","7","5","0","0","0","77","14","0","0","0","0","0","0","3","2","8","0","110","25","0","8","0","1","0","0","0","0","0","6","0","0","0","3","2","3","0","6","0","24","13","1","5","1","4","1","0","0","0","4","0","0","0","0","0","0","0","5","9","4","2","3","4","1","1","1","0","0","1","0","0","0","0","0","0","1","1","2","1","0","0","1","2","1","5","1","0","0","2","2","34","4","6","14","204","7","0","3","0","0","14","26","11","3","2","0","4","17","14","2","6","48","5","1","1","0","0","0","0","0","0","0"
"Radiohead","1","1","0","14","0","0","19","0","19","114","9","4","2","0","3","0","0","57","4","7","42","10","0","0","17","21","3","2","4","15","5","4","9","2","23","0","21","1","2","1","0","0","0","22","3","0","0","29","19","1","8","0","0","2","0","0","0","0","0","7","0","29","0","0","0","75","20","0","7","69","53","0","189","137","1","0","0","23","0","22","75","25","7","6","36","88","15","1","68","4","20","42","1","55","18","2","7","4","20","6","2","1","0","4","9","9","4","1","1","2","1","0","2","9","3","1","127","79","24","4","1","0","23","1","0","0","1","0","0","15","125","5","0","27","1","1","2","14","41","3","0","0","1","0","15","0","3","2","74","85","139","0"
"Charli XCX","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","55","5","0","1","0","1","0","1","0","0","2","1","0","0","21","1","1","2","0","0","0","0","0","0","0","0","4","0","6","24","1","3","0","2","11","1","27","1","2","0","1","0","0","0","1","2","0","0","2","3","0","1","0","0","1","0","0","7","4","2","0","12","14","2","1","3","6","4","2","2","14","0","10","2","0","0","21","6","0","2","32","0","10","0","2","1","1","1","0","26","27","25","82","20","12","3","0","5","20","52","8","6","5","0","5","1","0","1","22","1","0","3","0","2","2","15","8","10","2","1","0","97","47","8","11","25","2","0","1","0","0"
"Ryan Adams","0","3","0","0","1","4","4","12","3","1","2","2","0","5","6","6","3","20","1","2","4","11","1","0","0","0","0","0","2","1","1","0","0","6","0","0","0","1","0","2","0","0","0","1","0","0","0","0","0","1","1","0","2","2","1","2","1","0","0","0","1","0","1","7","394","66","7","21","12","4","8","1","1","2","13","0","0","44","2","35","18","136","24","4","94","1","2","23","26","17","4","25","11","3","8","8","7","3","0","0","0","3","2","0","1","1","5","4","2","13","2","2","3","0","4","4","0","0","0","2","1","1","0","3","0","1","1","1","0","0","0","1","1","2","0","1","2","0","0","0","0","0","0","0","1","2","8","1","0","0","0","0"
"Bon Iver","0","2","0","6","16","0","56","10","0","1","2","0","21","149","54","8","12","2","61","29","30","32","6","2","12","1","8","10","3","0","8","0","3","1","0","1","1","2","0","0","0","0","0","45","0","1","0","0","0","7","0","0","0","0","0","0","5","0","0","0","0","1","0","0","2","1","4","0","25","15","5","0","1","0","0","2","1","58","7","0","1","1","0","6","0","1","51","3","0","4","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","19","4","0","4","1","0","0","4","15","1","1","0","4","0","0","1","0","0","0","0","0","0","0","0","2","0","1","3","0","0","0","4","0","1","0","0","0","0","0","0","0"
"Oasis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","8","0","0","1","0","1","90","53","0","0","0","0","0","0","0","10","0","108","9","0","9","16","9","0","0","0","0","0","0","58","104","6","28","49","0","18","0","42","40","27","155","244","4","172","165","4","2","21","34","1","87","32","28","16","0","0","0","59","16","0","25","6","3","8","0","23","0","0","14","0","16","0","18","0","8","0","11","15","0","0","0","0","7","0","8","0","0","0","0","47","26","18","44","21","4","0","0","41","30","140","249","66","34","18","25","6","42","0"
"Phoebe Bridgers","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","1","0","0","0","7","0","9","1","0","0","0","30","22","0","510","742","245","51","236","44","26","161","83","2","57","45","3","58","37","9","396","242","237","46","74","102","40"
