"artist","first_play","first_consistent_play","days_lost"
"Indiana","2014-04-19","2015-04-21","366"
"Kira","2018-12-21","2020-01-04","378"
"A$AP Rocky","2012-01-04","2013-01-20","381"
"Warpaint","2011-02-05","2012-03-14","402"
"T.I.","2010-07-14","2011-09-03","415"
"BANKS","2013-06-17","2014-08-16","424"
"Olivia O'Brien","2017-11-21","2019-01-29","433"
"Heavenly Beat","2012-08-22","2013-11-16","450"
"Dua Lipa","2015-10-30","2017-01-24","451"
"Liv Dawson","2016-05-25","2017-08-29","460"
"Ethel Cain","2021-07-03","2022-10-08","461"
"Oh Wonder","2015-05-07","2016-08-13","463"
"Zara Larsson","2015-12-13","2017-03-23","465"
"Låpsley","2014-12-02","2016-03-15","468"
"Tensnake","2012-07-06","2013-10-25","475"
"Caribou","2014-03-04","2015-06-28","480"
"Emmy The Great","2010-07-29","2011-12-11","499"
"Bomba Estéreo","2015-08-12","2017-01-17","523"
"Shura","2015-01-09","2016-07-09","546"
"Liam Payne","2017-05-29","2018-12-01","550"
"NOTD","2017-08-31","2019-03-07","552"
"VÉRITÉ","2016-07-28","2018-02-05","556"
"Kygo","2014-12-02","2016-06-14","559"
"The Raveonettes","2010-10-12","2012-04-27","562"
"LANY","2015-12-13","2017-07-05","569"
"Phoebe Bridgers","2019-05-11","2020-12-02","570"
"Gallant","2015-04-15","2016-11-15","579"
"Surf Mesa","2020-06-01","2022-01-06","583"
"Metric","2010-05-25","2012-01-04","588"
"Wilkinson","2013-10-18","2015-05-31","589"
"Gravenhurst","2010-07-29","2012-05-03","643"
"Anitta","2017-06-21","2019-03-30","646"
"Maribou State","2013-10-29","2015-08-11","650"
"Holly Humberstone","2020-03-30","2022-01-13","653"
"Tate McRae","2020-08-10","2022-05-31","658"
"The Drums","2010-06-07","2012-03-29","660"
"L Devine","2018-11-03","2020-09-15","681"
"Charlie Puth","2016-07-30","2018-06-20","689"
"Santigold","2010-06-09","2012-05-16","706"
"Public Service Broadcasting","2013-05-10","2015-04-22","711"
"Aphex Twin","2012-03-08","2014-03-05","726"
"Halsey","2015-05-18","2017-06-09","752"
"Kacey Musgraves","2013-08-14","2015-09-07","753"
"Lane 8","2013-08-15","2015-09-09","754"
"Grum","2015-08-03","2017-09-02","760"
"WESLEE","2017-08-12","2019-09-13","761"
"Doja Cat","2018-04-12","2020-05-21","769"
"Tenille Arts","2019-04-22","2021-06-05","774"
"Electric Youth","2012-08-10","2014-10-01","781"
"Slum Village","2012-12-04","2015-01-29","785"
"Courtney Barnett","2013-10-23","2015-12-28","795"
"Khalid","2017-03-04","2019-05-27","813"
"ZHU","2014-04-16","2016-08-06","842"
"Tycho","2011-10-19","2014-02-22","856"
"Drake","2010-05-25","2012-10-04","862"
"Kelela","2013-12-02","2016-04-13","862"
"RY X","2013-12-13","2016-05-11","879"
"Skylar Grey","2014-04-29","2016-09-30","884"
"Aitch","2020-03-12","2022-08-23","893"
"Andrew Bayer","2011-01-18","2013-07-07","900"
"Anne-Marie","2015-10-31","2018-04-29","910"
"Flume","2013-11-26","2016-06-09","925"
"Grace Carter","2017-05-30","2019-12-25","938"
"Lana Del Rey","2011-11-09","2014-06-06","939"
"Shawn Mendes","2015-11-20","2018-07-07","959"
"Kehlani","2017-10-04","2020-05-22","960"
"Aquilo","2014-05-13","2017-01-11","973"
"MitiS","2017-11-26","2020-07-29","975"
"Crywolf","2017-11-26","2020-08-06","983"
"Miguel","2012-10-19","2015-07-19","1002"
"Bonobo","2010-06-10","2013-04-17","1041"
"Troye Sivan","2015-09-06","2018-07-17","1044"
"Azealia Banks","2012-02-18","2015-01-02","1048"
"Fifth Harmony","2014-12-22","2017-11-14","1057"
"Harry Styles","2017-04-22","2020-03-15","1057"
"Tame Impala","2012-07-18","2015-08-02","1109"
"Jamie xx","2011-07-01","2014-07-19","1113"
"Talib Kweli","2010-11-17","2013-12-21","1129"
"Anderson .Paak","2016-04-07","2019-05-15","1132"
"Ariana Grande","2013-04-15","2016-05-24","1134"
"Billie Eilish","2016-03-07","2019-04-16","1134"
"Anna Straker","2017-07-24","2020-09-18","1151"
"Megan Davies","2016-01-01","2019-03-19","1172"
"Miley Cyrus","2010-06-03","2013-08-31","1184"
"Gardiner Sisters","2015-11-30","2019-03-15","1200"
"Sasha Alex Sloan","2017-11-05","2021-04-27","1268"
"Aloe Blacc","2010-09-21","2014-04-08","1294"
"Lianne La Havas","2012-01-04","2015-08-25","1328"
"Lauv","2016-07-28","2020-03-18","1328"
"Nils Frahm","2011-08-23","2015-05-10","1355"
"Miranda Lambert","2012-03-01","2015-11-23","1361"
"Julia Michaels","2017-01-27","2020-11-07","1379"
"Etherwood","2013-12-14","2017-10-28","1413"
"Mabel","2015-09-26","2019-08-10","1413"
"Lorde","2013-08-14","2017-07-12","1427"
"Hudson Mohawke","2011-08-02","2015-07-04","1431"
"Christine and the Queens","2012-06-29","2016-06-19","1450"
"Luke Combs","2016-10-30","2020-11-05","1466"
"Noah Cyrus","2017-01-27","2021-03-24","1516"
"Maddie & Tae","2015-09-02","2019-11-15","1534"
"BAYNK","2017-04-24","2021-08-12","1570"
"Cigarettes After Sex","2017-10-04","2022-02-19","1598"
"Jess Glynne","2014-07-15","2019-01-19","1648"
"Kacy Hill","2015-11-21","2020-07-16","1698"
"The Antlers","2011-06-08","2016-02-10","1707"
"Michael Kiwanuka","2012-01-04","2016-10-01","1731"
"Jungle","2013-12-02","2018-09-20","1752"
"Sam Hunt","2016-01-29","2020-12-21","1787"
"AJ Tracey","2017-08-07","2022-07-02","1789"
"Lucy Dacus","2016-07-09","2021-06-28","1814"
"Julien Baker","2016-03-28","2021-04-05","1833"
"Wafia","2016-05-25","2021-06-19","1850"
"DJ Khaled","2011-02-16","2016-08-14","2005"
"Solange","2010-11-29","2016-11-08","2170"
"The War On Drugs","2011-08-17","2017-08-30","2204"
"Maren Morris","2016-11-02","2022-12-07","2225"
"Emily King","2012-08-14","2018-11-12","2280"
"Ella Eyre","2013-12-02","2020-08-16","2448"
"Lizzo","2015-10-24","2022-07-18","2458"
"Tove Lo","2012-12-08","2019-10-11","2497"
"Stormzy","2015-12-31","2022-12-09","2534"
"Hailee Steinfeld","2015-08-07","2022-08-09","2558"
"Post Malone","2015-06-19","2022-07-05","2572"
"Wolf Alice","2014-05-25","2021-06-17","2579"
"Kesha","2010-06-19","2017-08-12","2610"
"Little Simz","2014-12-03","2022-02-18","2633"
"Tinashe","2014-01-25","2021-09-04","2778"
"Le Youth","2013-07-27","2021-04-12","2815"
"Chromatics","2012-03-31","2020-03-06","2896"
"SZA","2014-06-14","2022-12-15","3105"
"Paloma Faith","2010-10-19","2019-05-21","3135"
"Demi Lovato","2012-07-12","2021-06-11","3255"
"Naughty Boy","2012-06-04","2021-07-29","3341"
"Deepchord","2013-05-30","2022-11-16","3456"
"Photek","2012-04-06","2021-12-14","3538"
"Justin Bieber","2010-05-25","2020-03-01","3567"
"Tyler, The Creator","2012-02-25","2022-01-17","3613"
"Annie","2010-10-29","2020-10-03","3626"
"Daniel Avery","2012-11-11","2022-11-11","3651"
