"SEASON","EPISODE","SCENE_INDEX","CHARACTER","TEXT"
"01","01","0","TREY","I'm your big brother. If I don't teach you this, who will? (He smashes the car window with a crowbar)"
"01","01","0","RYAN","I don't know, Trey."
"01","01","0","TREY","Quite being a little bitch, get in!"
"01","01","1","TREY","Yeah, let's go!"
"01","01","1","TREY","Get in! Come on, let's go Ryan!"
"01","01","2","RYAN","No, no, no, no, no!"
"01","01","4","SANDY","Ryan. Sandy Cohen. The court's appointed me your public defender."
"01","01","5","SANDY","You could do worse. You okay? They treating you all right?"
"01","01","5","RYAN","Where's my brother?"
"01","01","5","SANDY","Uh, Trey is over 18. Trey stole a car; Trey had a gun in his pants, an ounce of pot in his pocket, a couple of priors. I'm guessing right now, Trey's looking at three to five years. But Trey's not my concern. This is your first time in lockup. I'm assuming you don't plan on coming back. Your grades…are not great. Suspended twice for fighting, truancy three times…(hopeful) your test scores, 98 percentile on your SAT I? Ryan, 98 percentile, if you start going to class, are you thinking about college?"
"01","01","6","SANDY","Have you given any thought at all to your future? Dude. I'm on your side. Come on, help me out here."
"01","01","6","RYAN","Modern medicine is advancing to the point where the average human life span will be 100. But I read this article which said Social Security is supposed to run out by the year 2025, which means people are going to have to stay at their jobs until they're 80. So I don't want to commit to anything too soon."
"01","01","6","SANDY","(chuckles) Look, I can plead this down to a misdemeanor. Petty fine, probation. But know this; stealing a car ‘cause your big brother told you to, it's stupid, and it's weak, and those are two things you can't afford to be anymore."
"01","01","6","RYAN","Two more things."
"01","01","6","SANDY","Do you want to change that? Then you have to get over the fact that life dealt you a bad hand. I get it. We're cut from the same deck, Ryan. I grew up, no money, bad part of the Bronx. My father was gone; my mother worked all the time. I was pissed off. I was stupid."
"01","01","6","RYAN","And look at you now."
"01","01","6","SANDY","Smart kid like you. You got to have a plan. Some kind of a dream."
"01","01","6","RYAN","Yeah, right. Let me tell you something, okay? Where I'm from, having a dream doesn't make you smart. Knowing it won't come true…that does."
"01","01","7","SANDY","My office will contact you to remind you of the date for your hearing."
"01","01","7","RYAN","I'll remember."
"01","01","8","SANDY","Mrs. Atwood? I'm Sandy Cohen. I'm Ryan's attorney."
"01","01","8","SANDY","I'm going to give you my card. My home number. If you need somebody, if things get to be too much, call me."
"01","01","8","RYAN","(To his mom) All right!"
"01","01","9","RYAN","I'm sorry, Mom."
"01","01","9","RYAN","(desperate) But Mom…where am I going to go?"
"01","01","9","RYAN","Hey, this isn't your house, man."
"01","01","9","RYAN","Why don't you worry about your own kids, A.J? Instead of freeloading off my mom?"
"01","01","12","SANDY","Told you. You could do worse."
"01","01","13","RYAN","This is a nice car. I didn't know your kind of lawyer made money."
"01","01","13","SANDY","No, we don't. My wife does."
"01","01","14","SANDY","Um, you know, why don't you wait here for a minute? I'll be back."
"01","01","15","RYAN","It's no fun if the key's in the car."
"01","01","16","KIRSTEN","You brought him home? This is not a stray puppy, Sandy."
"01","01","16","SANDY","I know that, Kirsten."
"01","01","16","KIRSTEN","I knew it was only a matter of time before you started bringing home felons."
"01","01","16","SANDY","Ryan's not a felon."
"01","01","16","KIRSTEN","Did you not meet him in jail?"
"01","01","16","SANDY","Yes, technically, but it wasn't for a felony. I mean, it was, but it won't be when I'm done."
"01","01","16","KIRSTEN","You're endangering our home. Did you even think of Seth?"
"01","01","16","SANDY","It's only for the weekend. Just till Child Services opens on Monday…"
"01","01","16","KIRSTEN","What if this is all a scam? What if he's just using you to case the house?"
"01","01","16","SANDY","He's not a criminal mastermind. He's a kid who has no one and nowhere to go. When did you become so cynical?"
"01","01","16","KIRSTEN","When did you become so self-righteous?"
"01","01","16","SANDY","I've always been self-righteous. You used to find it charming."
"01","01","16","KIRSTEN","(walking away) He sleeps in the pool house."
"01","01","16","SANDY","Where are you going?"
"01","01","16","KIRSTEN","(dry sarcasm) To put my jewelry in the vault…where do you think I'm going? The boy's going to need fresh sheets and towels and a toothbrush."
"01","01","17","MARISSA","Who are you?"
"01","01","17","RYAN","Whoever you want me to be."
"01","01","17","MARISSA","Okay...Hey, can I bum a cigarette?"
"01","01","18","MARISSA","So, what are you doing here, seriously?"
"01","01","18","RYAN","Seriously? (truthfully) I stole a car. Crashed it. Actually, my brother did. Since he had a gun and drugs on him, he's in jail. I got out, and my mom threw me out. She was pissed off and drunk. So Mr. Cohen took me in."
"01","01","18","MARISSA","You're their cousin from Boston, right?"
"01","01","18","RYAN","Right…"
"01","01","18","SANDY","(walking towards them) Hi, Marissa."
"01","01","18","MARISSA","(drops cigarette) Hey, Mr. Cohen. I was just meeting your nephew."
"01","01","18","SANDY","Oh. My favorite nephew. Ryan. All the way from Seattle."
"01","01","18","MARISSA","Seattle?"
"01","01","18","RYAN","Dad lives there. Mom lives in Boston."
"01","01","18","MARISSA","Hmm."
