SEASON,EPISODE,SCENE_INDEX,RELATIONSHIP
01,01,0,TREY;RYAN
01,01,1,TREY
01,01,2,RYAN
01,01,3,SANDY
01,01,4,SANDY;RYAN
01,01,5,SANDY;RYAN
01,01,6,SANDY;RYAN
01,01,7,SANDY;RYAN
01,01,8,RYAN
01,01,9,SANDY
01,01,10,SANDY;RYAN
01,01,11,SANDY
01,01,12,RYAN
01,01,13,KIRSTEN;SANDY
01,01,14,MARISSA;RYAN
01,01,15,SANDY;MARISSA;RYAN
01,01,16,LUKE;SANDY;MARISSA
01,01,17,SANDY
01,01,18,KIRSTEN;SANDY;RYAN
01,01,19,SETH;RYAN
01,01,20,SANDY;SETH;RYAN
01,01,21,SETH;RYAN
01,01,22,SANDY;SETH;RYAN
01,01,23,MARISSA
01,01,24,JIMMY;MARISSA
01,01,25,SANDY;RYAN
01,01,26,SANDY;RYAN
01,01,27,JIMMY;JULIE;MARISSA
01,01,28,SETH
01,01,29,RYAN
01,01,30,RYAN
01,01,31,KIRSTEN
01,01,32,LUKE;SETH
01,01,33,SETH
01,01,34,SANDY;SETH
01,01,35,MARISSA;SUMMER
01,01,36,SANDY;SETH;RYAN
01,01,37,SETH
01,01,38,MARISSA;SETH
01,01,39,SETH
01,01,40,MARISSA;SUMMER
01,01,41,KIRSTEN;SANDY
01,01,42,JIMMY;JULIE;KIRSTEN
01,01,43,SUMMER
01,01,44,SUMMER;SETH;RYAN
01,01,45,SETH
01,01,46,RYAN
01,01,47,SETH
01,01,48,MARISSA;SUMMER
01,01,49,SUMMER
01,01,50,SUMMER
01,01,51,SUMMER
01,01,52,LUKE
01,01,53,JIMMY;JULIE;KIRSTEN
01,01,54,JIMMY;KIRSTEN
01,01,55,SETH
01,01,56,MARISSA;RYAN
01,01,57,SETH
01,01,58,SUMMER
01,01,59,SUMMER;SETH;RYAN
01,01,60,RYAN
01,01,61,SETH
01,01,62,SUMMER
01,01,63,LUKE;SETH;RYAN
01,01,64,LUKE
01,01,65,SETH;RYAN
01,01,66,SETH
01,01,67,SUMMER
01,01,68,SUMMER
01,01,69,SUMMER
01,01,70,RYAN
01,01,71,KIRSTEN
01,01,72,KIRSTEN;SETH
01,01,73,KIRSTEN;SANDY
01,01,74,KIRSTEN;RYAN
01,01,75,SETH;RYAN
01,01,76,SETH;RYAN
01,01,77,SETH
01,01,78,SANDY;RYAN
01,01,79,RYAN
01,01,80,SANDY
01,02,0,KIRSTEN
01,02,1,KIRSTEN;RYAN
01,02,2,KIRSTEN;SETH;RYAN
01,02,3,KIRSTEN;SANDY;SETH;RYAN
01,02,4,SANDY;RYAN
01,02,5,SANDY;SETH;RYAN
01,02,6,KIRSTEN;SANDY;RYAN
01,02,7,RYAN
01,02,8,SANDY;SETH;RYAN
01,02,9,MARISSA;RYAN
01,02,10,MARISSA;SETH
01,02,11,MARISSA;SETH
01,02,12,MARISSA;RYAN
01,02,13,SETH;RYAN
01,02,14,MARISSA
01,02,15,MARISSA;SETH;RYAN
01,02,16,MARISSA;SETH;RYAN
01,02,17,SETH
01,02,18,MARISSA;RYAN
01,02,19,MARISSA;SETH
01,02,20,MARISSA;SETH;RYAN
01,02,21,KIRSTEN;MARISSA;SETH;RYAN
01,02,22,KIRSTEN;SANDY
01,02,23,MARISSA;SETH;RYAN
01,02,24,MARISSA;RYAN
01,02,25,MARISSA
01,02,26,MARISSA;RYAN
01,02,27,MARISSA
01,02,28,LUKE
01,02,29,LUKE;MARISSA
01,02,30,MARISSA;RYAN
01,02,31,MARISSA;SETH;RYAN
01,02,32,MARISSA
01,02,33,MARISSA;SETH;RYAN
01,02,34,MARISSA;SETH;RYAN
01,02,35,SETH;RYAN
01,02,36,MARISSA;SETH
01,02,37,SETH
01,02,38,SUMMER
01,02,39,MARISSA;SUMMER;SETH
01,02,40,MARISSA
01,02,41,MARISSA;SETH;RYAN
01,02,42,MARISSA;RYAN
01,03,0,SANDY
01,03,1,SANDY;RYAN
01,03,2,SANDY;RYAN
01,03,3,SANDY;RYAN
01,03,4,SANDY;RYAN
01,03,5,SANDY;RYAN
01,03,6,RYAN
01,03,7,KIRSTEN
01,03,8,SANDY
01,03,9,KIRSTEN
01,03,10,SANDY
01,03,11,KIRSTEN
01,03,12,SANDY
01,03,13,KIRSTEN;SANDY
01,03,14,KIRSTEN;SANDY
01,03,15,SANDY;SETH
01,03,16,SANDY;SETH
01,03,17,SETH
01,03,18,KIRSTEN;SANDY;SETH
01,03,19,SETH
01,03,20,KIRSTEN
01,03,21,KIRSTEN;SANDY;SETH
01,03,22,JULIE;SANDY
01,03,23,JULIE;SANDY
01,03,24,JULIE
01,03,25,SANDY
01,03,26,KIRSTEN
01,03,27,JULIE
01,03,28,JULIE
01,03,29,KIRSTEN
01,03,30,JULIE
01,03,31,KIRSTEN;SETH
01,03,32,JULIE;SETH
01,03,33,KIRSTEN
01,03,34,MARISSA;SUMMER
01,03,35,MARISSA
01,03,36,SUMMER
01,03,37,SUMMER
01,03,38,MARISSA;SUMMER
01,03,39,JIMMY;SETH
01,03,40,JIMMY;SETH
01,03,41,MARISSA
01,03,42,SETH
01,03,43,MARISSA
01,03,44,SETH
01,03,45,MARISSA
01,03,46,MARISSA;SETH
01,03,47,KIRSTEN
01,03,48,SETH;RYAN
01,03,49,SETH
01,03,50,KIRSTEN;RYAN
01,03,51,KIRSTEN;SETH;RYAN
01,03,52,KIRSTEN
01,03,53,SANDY
01,03,54,SANDY
01,03,55,KIRSTEN;SANDY
01,03,56,KIRSTEN
01,03,57,KIRSTEN;SANDY;RYAN
01,03,58,SETH;RYAN
01,03,59,SETH
01,03,60,SETH;RYAN
01,03,61,RYAN
01,03,62,SETH;RYAN
01,03,63,JULIE
01,03,64,JULIE;MARISSA
01,03,65,JULIE;MARISSA
01,03,66,JULIE;MARISSA
01,03,67,KIRSTEN
01,03,68,SANDY
01,03,69,KIRSTEN;SANDY
01,03,70,KIRSTEN;SANDY
01,03,71,JULIE;KIRSTEN;RYAN
01,03,72,LUKE;KIRSTEN
01,03,73,JULIE;KIRSTEN;RYAN
01,03,74,LUKE;MARISSA;RYAN
01,03,75,MARISSA
01,03,76,MARISSA;RYAN
01,03,77,LUKE;RYAN
01,03,78,KIRSTEN
01,03,79,JULIE
01,03,80,JULIE
01,03,81,JULIE
01,03,82,JULIE
01,03,83,SANDY
01,03,84,JULIE;SANDY
01,03,85,JULIE
01,03,86,KIRSTEN
01,03,87,KIRSTEN;SETH;RYAN
01,03,88,SETH;RYAN
01,03,89,KIRSTEN
01,03,90,RYAN
01,03,91,KIRSTEN;RYAN
01,03,92,KIRSTEN;RYAN
01,03,93,KIRSTEN;RYAN
01,03,94,JIMMY
01,03,95,KIRSTEN
01,03,96,JIMMY;JULIE
01,03,97,JIMMY;JULIE
01,03,98,JULIE
01,03,99,JIMMY;JULIE
01,03,100,SANDY
01,03,101,SANDY
01,03,102,SANDY
01,03,103,KIRSTEN
01,03,104,SETH;RYAN
01,03,105,KIRSTEN;SANDY
